doi;agreement;yfa_kod;article_title;corresponding_auth;approved_date;approved_year;first_published;apc;apc_source;currency;over limit;oa_type
10.1038/s41598-021-82911-z;Springer Fully Open;YFA_SOA;;Renata Zelic;2021-01-04;2021;;1570,00;List Price;EUR;;Guld
10.1007/s00125-020-05372-5;Springer Compact;YFA_SCO;;Shengxin LIU;2021-01-04;2021;;2289,00;Discounted;EUR;;Hybrid
10.1007/s11764-020-00986-5;Springer Compact;YFA_SCO;;Linda Eriksson;2021-01-04;2021;;2289,00;Discounted;EUR;;Hybrid
10.1007/s40258-020-00624-2;Springer Compact;YFA_SCO;;Erik Landfeldt;2021-01-05;2021;;2289,00;Discounted;EUR;;Hybrid
10.1007/s00429-020-02205-4;Springer Compact;YFA_SCO;;Benjamin Garzon;2021-01-05;2021;;2289,00;Discounted;EUR;;Hybrid
10.1007/s00228-020-03086-6;Springer Compact;YFA_SCO;;Buster Mannheimer;2021-01-07;2021;;2289,00;Discounted;EUR;;Hybrid
10.1007/s10433-021-00600-2;Springer Compact;YFA_SCO;;Yajun Liang;2021-01-08;2021;;2289,00;Discounted;EUR;;Hybrid
10.1007/s00167-020-06417-3;Springer Compact;YFA_SCO;;Riccardo Cristiani;2021-01-11;2021;;2289,00;Discounted;EUR;;Hybrid
10.1007/s00270-020-02762-5;Springer Compact;YFA_SCO;;David Stillström;2021-01-11;2021;;2289,00;Discounted;EUR;;Hybrid
10.1186/s12889-021-10158-4;Springer Fully Open;YFA_SOA;;Mattias Strand;2021-01-11;2021;;2170,00;List Price;EUR;;Guld
10.1007/s40520-020-01773-z;Springer Compact;YFA_SCO;;Alessandra Marengoni;2021-01-12;2021;;2289,00;Discounted;EUR;;Hybrid
10.1007/s00125-021-05380-z;Springer Compact;YFA_SCO;;Sergiu-Bogdan Catrina;2021-01-14;2021;;2382,00;Medel-APC från YFA;EUR;;Hybrid
10.1186/s43058-021-00110-3;Springer Fully Open;YFA_SOA;;Hanna Augustsson;2021-01-14;2021;;1540,00;List Price;EUR;;Guld
10.1007/s00701-021-04708-3;Springer Compact;YFA_SCO;;Gustav Burström;2021-01-14;2021;;2289,00;Discounted;EUR;;Hybrid
10.1186/s13058-021-01393-z;Springer Fully Open;YFA_SOA;;Anna Johansson;2021-01-15;2021;;2790,00;List Price;EUR;;Guld
10.1186/s12889-020-10015-w;Springer Fully Open;YFA_SOA;;Salla Atkins;2021-01-15;2021;;2170,00;List Price;EUR;;Guld
10.1007/s10566-021-09601-9;Springer Compact;YFA_SCO;;Melody Almroth;2021-01-15;2021;;2289,00;Discounted;EUR;;Hybrid
10.1038/s41398-021-01282-1;Springer Fully Open;YFA_SOA;;Kaarina Kowalec;2021-01-18;2021;;3170,00;List Price;EUR;;Guld
10.1007/s00068-020-01592-x;Springer Compact;YFA_SCO;;Andreas Brännström;2021-01-18;2021;;2289,00;Discounted;EUR;;Hybrid
10.1186/s40959-021-00091-1;Springer Fully Open;YFA_SOA;;Helene Rundqvist;2021-01-18;2021;;2090,00;List Price;EUR;;Guld
10.1038/s41467-021-21173-9;Springer Fully Open;YFA_SOA;;Francois Lallemend;2021-01-18;2021;;4530,00;List Price;EUR;;Guld
10.1186/s12913-021-06061-8;Springer Fully Open;YFA_SOA;;Dorcus Kiwanuka Henriksson;2021-01-19;2021;;2170,00;List Price;EUR;;Guld
10.1038/s41598-021-82335-9;Springer Fully Open;YFA_SOA;;Nagihan Bostanci;2021-01-21;2021;;1690,00;List Price;EUR;;Guld
10.1038/s41598-021-82498-5;Springer Fully Open;YFA_SOA;;Inga Szurgot;2021-01-21;2021;;1690,00;List Price;EUR;;Guld
10.1007/s00167-021-06442-w;Springer Compact;YFA_SCO;;Erik Rönnblad;2021-01-21;2021;;2289,00;Discounted;EUR;;Hybrid
10.1186/s13053-021-00171-4;Springer Fully Open;YFA_SOA;;Ann-Sofie Backman;2021-01-22;2021;;2090,00;List Price;EUR;;Guld
10.1038/s41598-021-82693-4;Springer Fully Open;YFA_SOA;;Emmanuel Nji;2021-01-22;2021;;1690,00;List Price;EUR;;Guld
10.1007/s11882-021-00988-y;Springer Compact;YFA_SCO;;Theo Gulen;2021-01-22;2021;;2289,00;Discounted;EUR;;Hybrid
10.1186/s12877-021-02039-7;Springer Fully Open;YFA_SOA;;Sofia Vikström;2021-01-22;2021;;2090,00;List Price;EUR;;Guld
10.1007/s40620-020-00962-3;Springer Compact;YFA_SCO;;Guobin Su;2021-01-25;2021;;2289,00;Discounted;EUR;;Hybrid
10.1186/s12931-021-01634-x;Springer Fully Open;YFA_SOA;;Jing Gao;2021-01-25;2021;;2290,00;List Price;EUR;;Guld
10.1186/s12877-021-02044-w;Springer Fully Open;YFA_SOA;;Jenny Liu;2021-01-26;2021;;2090,00;List Price;EUR;;Guld
