doi;agreement;yfa_kod;article_title;corresponding_auth;approved_date;approved_year;first_published;apc;apc_source;currency;over limit;oa_type
10.1007/s40263-018-0601-x;Springer Compact;YFA_SCO;;Holly Green;2018-12-19;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00415-018-9163-6;Springer Compact;YFA_SCO;;Ali Manouchehrinia;2018-12-18;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00018-018-2988-4;Springer Compact;YFA_SCO;;Sven Bölte;2018-12-17;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00383-018-04428-3;Springer Compact;YFA_SCO;;Martin Dahlberg;2018-12-17;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00259-018-4242-6;Springer Compact;YFA_SCO;;Agneta Nordberg;2018-12-17;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00392-018-1399-8;Springer Compact;YFA_SCO;;Aristomenis Manouras;2018-12-07;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s40261-018-0740-3;Springer Compact;YFA_SCO;;Per Wändell;2018-12-07;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s10334-018-0727-3;Springer Compact;YFA_SCO;;Andreas Sigfridsson;2018-12-07;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s10549-018-05083-x;Springer Compact;YFA_SCO;;Anna Johansson;2018-12-07;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s10910-018-0985-3;Springer Compact;YFA_SCO;;Dževad Belkić;2018-11-22;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00383-018-4421-3;Springer Compact;YFA_SCO;;Lina Schollin Ask;2018-11-22;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00268-018-4863-8;Springer Compact;YFA_SCO;;Anders Olsson;2018-11-16;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s40620-018-0556-5;Springer Compact;YFA_SCO;;Johan Ärnlöv;2018-11-16;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00464-018-6590-5;Springer Compact;YFA_SCO;;Dag Holmberg;2018-11-14;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00464-018-6581-6;Springer Compact;YFA_SCO;;Olof Backman;2018-11-13;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s40674-018-0113-3;Springer Compact;YFA_SCO;;Helene Alexanderson;2018-11-13;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00134-018-5467-3;Springer Compact;YFA_SCO;;A. Milton;2018-11-13;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00259-018-4217-7;Springer Compact;YFA_SCO;;Elena Rodriguez-Vieitez;2018-11-13;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s40259-018-0322-1;Springer Compact;YFA_SCO;;Brian Godman;2018-11-13;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00420-018-1380-x;Springer Compact;YFA_SCO;;Anna Finnes;2018-11-13;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s12195-018-00562-z;Springer Compact;YFA_SCO;;Kenneth Caidahl;2018-11-13;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s10459-018-9862-x;Springer Compact;YFA_SCO;;Anna Hörberg;2018-11-13;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s12028-018-0643-4;Springer Compact;YFA_SCO;;Maximilian Forssten;2018-11-02;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00125-018-4767-z;Springer Compact;YFA_SCO;;Harriet Wallberg-Henriksson;2018-11-02;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s11695-018-3559-3;Springer Compact;YFA_SCO;;Helena Dreber;2018-11-02;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s11523-018-0604-z;Springer Compact;YFA_SCO;;Irene Eriksson;2018-11-02;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00127-018-1618-7;Springer Compact;YFA_SCO;;Karin Beckman;2018-11-02;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s10548-018-0684-1;Springer Compact;YFA_SCO;;Arran Reader;2018-11-02;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00068-018-1045-1;Springer Compact;YFA_SCO;;Carl-Magnus Wahlgren;2018-11-02;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00223-018-0491-4;Springer Compact;YFA_SCO;;Mathias Haarhaus;2018-11-02;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00268-018-4844-y;Springer Compact;YFA_SCO;;U. Gustafsson;2018-11-02;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00345-018-2539-5;Springer Compact;YFA_SCO;;C. Reus;2018-10-24;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00228-018-2586-2;Springer Compact;YFA_SCO;;Jonas Forsman;2018-10-24;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s10910-018-0967-5;Springer Compact;YFA_SCO;;Dževad Belkić;2018-10-24;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00787-018-1237-6;Springer Compact;YFA_SCO;;Elena Raffetti;2018-10-10;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00268-018-4817-1;Springer Compact;YFA_SCO;;Maximilian Nerlander;2018-10-09;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s11377-018-0304-3;Springer Compact;YFA_SCO;;J.-M. Löhr;2018-10-09;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s12035-018-1383-3;Springer Compact;YFA_SCO;;Taher Darreh-Shori;2018-10-08;2018;;2200;CM discounted;EUR;;Hybrid
10.1245/s10434-018-6869-8;Springer Compact;YFA_SCO;;Jesper Lagergren;2018-10-02;2018;;2200;CM discounted;EUR;;Hybrid
10.1245/s10434-018-6844-4;Springer Compact;YFA_SCO;;Jesper Lagergren;2018-09-27;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00429-018-1759-1;Springer Compact;YFA_SCO;;Giorgio Innocenti;2018-09-26;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s10654-018-0445-1;Springer Compact;YFA_SCO;;Sven Sandin;2018-09-26;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s10459-018-9853-y;Springer Compact;YFA_SCO;;Agnes Elmberger;2018-09-25;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s40258-018-0434-2;Springer Compact;YFA_SCO;;Irene Eriksson;2018-09-20;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00586-018-5768-9;Springer Compact;YFA_SCO;;Tobias Lagerbäck;2018-09-17;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00380-018-1265-7;Springer Compact;YFA_SCO;;Andreas Jekell;2018-09-17;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s11910-018-0890-y;Springer Compact;YFA_SCO;;Patrik Fazio;2018-09-13;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00259-018-4161-6;Springer Compact;YFA_SCO;;Katarina Varnäs;2018-09-10;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s40674-018-0106-2;Springer Compact;YFA_SCO;;Ingrid Lundberg;2018-09-06;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s12134-018-0620-y;Springer Compact;YFA_SCO;;Marina Taloyan;2018-09-06;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00520-018-4453-1;Springer Compact;YFA_SCO;;Mirkka Söderman;2018-09-03;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s11136-018-1985-2;Springer Compact;YFA_SCO;;Mimmi Åström;2018-08-30;2018;;2200;CM discounted;EUR;;Hybrid
10.1007/s00167-018-5125-x;Springer Compact;YFA_SCO;;Lukas Berglund;2018-08-29;2018;;2200;CM discounted;EUR;;Hybrid
