doi;agreement;yfa_kod;article_title;corresponding_auth;approved_date;approved_year;first_published;apc;apc_source;currency;over limit;oa_type
10.1007/s00018-019-03232-z;Springer Compact;YFA_SCO;;Vladimir Gogvadze;02-aug-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00018-019-03422-9;Springer Compact;YFA_SCO;;Helder André;20-dec-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00018-019-03430-9;Springer Compact;YFA_SCO;;Christoph Freyer;19-dec-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00059-019-4789-4;Springer Compact;YFA_SCO;;L. Mellbin;01-feb-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00109-019-01794-w;Springer Compact;YFA_SCO;;Helder André;06-maj-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00125-019-04997-5;Springer Compact;YFA_SCO;;Sofia Carlsson;29-aug-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00125-019-05019-0;Springer Compact;YFA_SCO;;Susanna Larsson;25-sep-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00125-019-4892-3;Springer Compact;YFA_SCO;;Xiuying Qi;30-apr-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00127-019-01668-z;Springer Compact;YFA_SCO;;Alma Wallin;15-feb-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00127-019-01715-9;Springer Compact;YFA_SCO;;Lisa Mather;06-maj-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00127-019-01742-6;Springer Compact;YFA_SCO;;Richard Bränström;09-juli-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00127-019-01803-w;Springer Compact;YFA_SCO;;M. Wang;19-nov-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00127-019-01824-5;Springer Compact;YFA_SCO;;Emma Björkenstam;28-dec-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00167-019-05396-4;Springer Compact;YFA_SCO;;Riccardo Cristiani;11-feb-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00167-019-05397-3;Springer Compact;YFA_SCO;;Christoffer Essen;11-feb-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00167-019-05576-2;Springer Compact;YFA_SCO;;Riccardo Cristiani;19-juni-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00167-019-05722-w;Springer Compact;YFA_SCO;;Christoffer von Essen;16-sep-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00167-019-05767-x;Springer Compact;YFA_SCO;;Susanna Aufwerber;25-okt-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00192-019-03975-0;Springer Compact;YFA_SCO;;Susanne Åhlund;20-maj-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00204-019-02439-0;Springer Compact;YFA_SCO;;Linda Schenk;12-apr-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00204-019-02594-4;Springer Compact;YFA_SCO;;Karin Broberg;14-okt-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00213-019-05345-6;Springer Compact;YFA_SCO;;Lotfi Khemiri;12-aug-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00223-019-00618-w;Springer Compact;YFA_SCO;;Tuomas Näreoja;02-okt-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00223-019-00624-y;Springer Compact;YFA_SCO;;S. Windahl;15-okt-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00228-018-02622-9;Springer Compact;YFA_SCO;;Karin Hedenmalm;03-jan-19;2019;;2200;BK;EUR;FALSE;hybrid
10.1007/s00228-019-02645-w;Springer Compact;YFA_SCO;;Helena Sundvall;19-feb-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00228-019-02650-z;Springer Compact;YFA_SCO;;Karin Hedenmalm;26-feb-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00228-019-02703-3;Springer Compact;YFA_SCO;;Buster Mannheimer;03-juni-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00228-019-02707-z;Springer Compact;YFA_SCO;;Jonas Forsman;11-juni-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00228-019-02780-4;Springer Compact;YFA_SCO;;Laura Pazzagli;07-nov-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00228-019-02787-x;Springer Compact;YFA_SCO;;Michel Arvidsson;11-nov-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00246-019-02199-9;Springer Compact;YFA_SCO;;Jonna Karlén;26-aug-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00256-019-03191-3;Springer Compact;YFA_SCO;;Seppo Koskinen;26-feb-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00256-019-03309-7;Springer Compact;YFA_SCO;;Zlatan Alagic;02-sep-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00259-019-04297-5;Springer Compact;YFA_SCO;;Agneta Nordberg;11-mars-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00259-019-04305-8;Springer Compact;YFA_SCO;;Agneta Nordberg;11-mars-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00259-019-04589-w;Springer Compact;YFA_SCO;;Pavitra Kannan;04-nov-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00259-019-04669-x;Springer Compact;YFA_SCO;;Joana Pereira;28-dec-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00261-019-01900-z;Springer Compact;YFA_SCO;;Erik Rollvén;22-jan-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00262-019-02322-y;Springer Compact;YFA_SCO;;Monika Ehnman;11-mars-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00268-019-04995-z;Springer Compact;YFA_SCO;;Ulrica Nilsson;28-mars-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00268-019-05015-w;Springer Compact;YFA_SCO;;Johan Schreeb;29-apr-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00268-019-05037-4;Springer Compact;YFA_SCO;;Kerstin Sandelin;20-maj-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00268-019-05188-4;Springer Compact;YFA_SCO;;Jan Zedenius;12-sep-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00268-019-05249-8;Springer Compact;YFA_SCO;;Maximilian Zoltek;21-okt-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00276-019-02389-3;Springer Compact;YFA_SCO;;Peyman Bakhshayesh;22-nov-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00281-019-00767-y;Springer Compact;YFA_SCO;;Magnus Bäck;15-okt-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00330-019-06248-y;Springer Compact;YFA_SCO;;Roxanna Hellgren;29-apr-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00345-019-02682-1;Springer Compact;YFA_SCO;;Marianne Brehmer;19-feb-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00345-019-02732-8;Springer Compact;YFA_SCO;;Marianne Brehmer;18-mars-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00345-019-02739-1;Springer Compact;YFA_SCO;;Marianne Brehmer;28-mars-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00345-019-02760-4;Springer Compact;YFA_SCO;;Marianne Brehmer;12-apr-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00345-019-02811-w;Springer Compact;YFA_SCO;;Marianne Brehmer;20-maj-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00345-019-02976-4;Springer Compact;YFA_SCO;;Justin Collins;07-okt-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00381-019-04394-8;Springer Compact;YFA_SCO;;Ulrika Sandvik;23-okt-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00383-018-04431-8;Springer Compact;YFA_SCO;;Helena Wigander;03-jan-19;2019;;2200;BK;EUR;FALSE;hybrid
10.1007/s00383-019-04546-6;Springer Compact;YFA_SCO;;Anna Granström;12-aug-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00383-019-04610-1;Springer Compact;YFA_SCO;;Tomas Wester;10-dec-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00384-019-03292-4;Springer Compact;YFA_SCO;;Mathilda Tivenius;12-apr-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00384-019-03390-3;Springer Compact;YFA_SCO;;Harald Söderbäck;03-sep-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00392-019-01554-3;Springer Compact;YFA_SCO;;Eric Rullman;16-sep-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00394-019-01893-x;Springer Compact;YFA_SCO;;Josefin Löfvenborg;09-jan-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00394-019-02126-x;Springer Compact;YFA_SCO;;Yasutake Tomata;24-okt-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00395-019-0765-7;Springer Compact;YFA_SCO;;Ralph Knöll;09-dec-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00405-019-05571-w;Springer Compact;YFA_SCO;;Anna Borgström;29-juli-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00406-019-01042-9;Springer Compact;YFA_SCO;;Viktoria Johansson;09-juli-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00415-019-09228-w;Springer Compact;YFA_SCO;;Erik Landfeldt;15-feb-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00415-019-09677-3;Springer Compact;YFA_SCO;;Anna Karin Hedström;13-dec-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00420-019-01472-x;Springer Compact;YFA_SCO;;Carolina Bigert;21-aug-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00420-019-01479-4;Springer Compact;YFA_SCO;;Cecilia Videnros;15-okt-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00420-019-01505-5;Springer Compact;YFA_SCO;;Sanna Kärkkäinen;06-dec-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00428-019-02540-w;Springer Compact;YFA_SCO;;Lars Egevad;15-feb-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00428-019-02563-3;Springer Compact;YFA_SCO;;Ivan Shabo;18-mars-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00429-019-01938-1;Springer Compact;YFA_SCO;;Goran Papenberg;12-aug-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00432-019-02946-8;Springer Compact;YFA_SCO;;Afsar Rahbar;11-juni-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00439-019-02006-8;Springer Compact;YFA_SCO;;Elisabeth Dahlqwist;28-mars-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00439-019-02081-x;Springer Compact;YFA_SCO;;Volker Lauschke;30-okt-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00441-019-03162-z;Springer Compact;YFA_SCO;;Annelie Brauner;26-dec-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00467-019-04293-9;Springer Compact;YFA_SCO;;Alexander Rakow;28-juni-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00520-019-05237-7;Springer Compact;YFA_SCO;;Emelie Karlsson;12-dec-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00520-019-4652-4;Springer Compact;YFA_SCO;;Tomas Månsson;22-jan-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00535-019-01652-z;Springer Compact;YFA_SCO;;Nele Brusselaers;29-nov-19;2019;;2289;BK;EUR;FALSE;hybrid
10.1007/s00586-019-06071-5;Springer Compact;YFA_SCO;;E. Rasmussen-Barr;15-juli-19;2019;;2289;BK;EUR;FALSE;hybrid
