doi;agreement;yfa_kod;article_title;corresponding_auth;approved_date;approved_year;first_published;apc;apc_source;currency;over limit;oa_type;Funder_paid
10.1021/acsinfecdis.0c00314;American Chemical Society;YFA_ACS;;Römling U;augusti;2020;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acsinfecdis.0c00536;American Chemical Society;YFA_ACS;;Ray, S;december;2020;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acsomega.0c05075;American Chemical Society;YFA_ACS;;Honcharenko, D;februari;2020;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acssensors.0c00397;American Chemical Society;YFA_ACS;;Schihada, H;mars;2020;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acschemneuro.9b00680;American Chemical Society;YFA_ACS;;Nag, S;december;2019;;3500,00;List price;EUR;;Hybrid;FALSE
10.1021/acs.inorgchem.2c03768;American Chemical Society;YFA_ACS;;Rubin Dasgupta;januari;2023;;4000,00;List Price;USD;;Hybrid;FALSE
10.1021/acschemneuro.3c00247;American Chemical Society;YFA_ACS;;Sangram Nag;juni;2023;;4000,00;Listpris;USD;;Hybrid;FALSE
10.1021/acsnano.3c01215;American Chemical Society;YFA_ACS;;Yanhong Duo;juli;2023;;4000,00;Listpris;USD;;Hybrid;FALSE
10.1021/acschemneuro.2c00649;American Chemical Society;YFA_ACS;;Lars Terenius;mars;2023;;4000,00;List price;USD;;Hybrid;FALSE
10.1021/acschemneuro.3c00044;American Chemical Society;YFA_ACS;;Axel Abelein;mars;2023;;4000,00;List price;USD;;Hybrid;FALSE
10.1021/acsnano.2c11982;American Chemical Society;YFA_ACS;;Björn Högberg;mars;2023;;4000,00;List price;USD;;Hybrid;FALSE
10.1021/acs.nanolett.2c04884;American Chemical Society;YFA_ACS;;Erdinc Sezgin;mars;2023;;4000,00;List price;USD;;Hybrid;FALSE
10.1021/acsinfecdis.2c00598;American Chemical Society;YFA_ACS;;Annelie Brauner;april;2023;;4000,00;List price;USD;;Hybrid;FALSE
10.1021/acs.nanolett.3c00773;American Chemical Society;YFA_ACS;;Michael Landreh;april;2023;;4000,00;List price;USD;;Hybrid;FALSE
