doi;agreement;yfa_kod;article_title;corresponding_auth;approved_date;approved_year;first_published;apc;apc_source;currency;over limit;oa_type
10.1007/s12529-016-9629-9;Springer Compact;YFA_SCO;;Mikael Gajecki;2016-12-30;2016;;2200;CM discounted;EUR;;Hybrid
10.1007/s10461-016-1662-9;Springer Compact;YFA_SCO;;T. Alfvén;2016-12-29;2016;;2200;CM discounted;EUR;;Hybrid
10.1007/s10654-016-0220-0;Springer Compact;YFA_SCO;;Anders Ahlbom;2016-12-27;2016;;2200;CM discounted;EUR;;Hybrid
10.1007/s00431-016-2843-2;Springer Compact;YFA_SCO;;Anna Nilsson;2016-12-27;2016;;2200;CM discounted;EUR;;Hybrid
10.1007/s00296-016-3641-x;Springer Compact;YFA_SCO;;Ingrid Demmelmaier;2016-12-27;2016;;2200;CM discounted;EUR;;Hybrid
10.1007/s10067-016-3525-1;Springer Compact;YFA_SCO;;Per Wändell;2016-12-22;2016;;2200;CM discounted;EUR;;Hybrid
10.1208/s12248-016-0027-7;Springer Compact;YFA_SCO;;Eric Thelin;2016-12-09;2016;;2200;CM discounted;EUR;;Hybrid
10.1007/s11136-016-1479-z;Springer Compact;YFA_SCO;;Mariann Olsson;2016-12-08;2016;;2200;CM discounted;EUR;;Hybrid
10.1007/s00394-016-1356-0;Springer Compact;YFA_SCO;;Alessio Crippa;2016-12-07;2016;;2200;CM discounted;EUR;;Hybrid
